SAMPN,VEHNO,YEAR,MAKE,MKOTH,MODEL,TYPE,TYPEO,VHOWN,VHONO,REGION,DVRPC
1005677,1,2000,8,,STRATUS,1,,1,,1,1
1005677,2,2000,8,,STRATUS,1,,1,,1,1
1005677,3,1992,9,,TEMPO,1,,1,,1,1
1005677,4,1998,18,,WRANGLER,4,,1,,1,1
1005677,5,1984,9,,CLUB WAGON,3,,1,,1,1
1005695,1,1994,9,,TEMPO,1,,1,,1,1
1005695,2,1987,9,,F 250,7,,1,,1,1
1005701,1,1998,9,,TAURUS,1,,2,,1,1
1005701,2,1995,9,,TAURUS,1,,1,,1,1
1005706,1,1999,9,,RANGER,7,,1,,1,1
1005710,1,1992,35,,LEGACY,1,,1,,1,1
1005710,2,1994,28,,EIGHTY-EIGHT,1,,1,,1,1
1005710,3,1997,28,,BRAVADA,4,,2,,1,1
1005711,1,1996,4,,PARK AVENUE,1,,1,,1,1
1005711,2,1998,9,,ESCORT,1,,1,,1,1
1005712,1,1996,15,,I 30,1,,1,,1,1
1005712,2,1997,35,,OUTBACK,6,,1,,1,1
1005715,1,1996,13,,ACCORD,1,,1,,1,1
1005724,1,1996,34,,SL2,1,,1,,1,1
1005724,2,1998,24,,GRAND MARQUIS,1,,1,,1,1
1005732,1,1992,38,,JETTA,1,,1,,1,1
1005732,2,1993,97,WILDERNESS,TRAILER,5,,1,,1,1
1005732,3,1996,38,,GOLF,2,,1,,1,1
1005742,1,1998,1,,3.2,1,,1,,1,1
1005746,1,2000,6,,IMPALA,1,,1,,1,1
1005746,2,1987,11,,PICK UP,7,,1,,1,1
1005746,3,1997,9,,F 250,7,,2,,1,1
1005760,1,1982,7,,FIFTH AVE,1,,1,,1,1
1005760,2,1989,6,,CELEBRITY,1,,1,,1,1
1005760,3,1979,11,,JIMMY,4,,9,,1,1
1005765,1,1995,4,,CENTURY,1,,1,,1,1
1005765,2,1995,4,,CENTURY,1,,1,,1,1
1005768,1,1989,29,,VOYAGER,3,,1,,1,1
1005768,2,1999,6,,BLAZER,4,,2,,1,1
1005786,1,1994,9,,RANGER,7,,1,,1,1
1005786,2,2000,9,,WINDSTAR,3,,1,,1,1
1005807,1,1992,6,,CORSICA,1,,1,,1,1
1005813,1,1994,33,,900 S,1,,1,,1,1
1005813,2,2000,35,,OUTBACK,6,,2,,1,1
1005815,1,2000,9,,WINDSTAR,5,,1,,1,1
1005815,2,1994,9,,ESCORT,1,,1,,1,1
1005839,1,1998,29,,NEON,1,,1,,1,1
1005844,1,1993,27,,SENTRA,1,,1,,1,1
1005844,2,1997,14,,ELANTRA,1,,1,,1,1
1005845,1,1999,38,,BEETLE,2,,1,,1,1
1005845,2,1998,5,,SEVILLE,1,,1,,1,1
1005865,1,1995,18,,CHEROKEE,4,,1,,1,1
1005865,2,1994,28,,CUTLASS SIERRA,6,,1,,1,1
1005865,3,1985,31,,944,2,,1,,1,1
1005877,1,1987,29,,GRAND VOYAGER,1,,1,,1,1
1005877,2,1990,27,,240 SX,2,,1,,1,1
1005880,1,1997,6,,CAVALIER,2,,1,,1,1
1005880,2,1992,9,,STATION WAGON,6,,1,,1,1
1005880,3,1992,6,,DON'T KNOW,3,,1,,1,1
1005883,1,1996,37,,COROLLA,1,,1,,1,1
1005883,2,1999,6,,S 10,7,,1,,1,1
1005883,3,2000,35,,FORESTER,6,,1,,1,1
1005883,4,2000,35,,IMPREZA,1,,1,,1,1
1005898,1,1993,9,,AEROSTAR,5,,1,,1,1
1005898,2,1993,9,,FESTIVA,1,,1,,1,1
