SAMPN,PERNO,GEND,AGE,LIC,RESP,RELAT,DISAB,DISTY1,DISTY2,DABLO,EDUC,LEVEL,S_LOC,SHOME,SDAY,SMODE1,SMODE2,SMODE3,SMOO,SCOST,SUNIT,EMPL,NOJOB,NMJOB,ETYPE,ETYPO,W1IND,W1INO,W1OCC,W1OCO,W1TIM,W1DAY,W1HOM,W1HMO,W1CPR,W1CPT,W1CPO,W1WKE,W1WKD1,W1WKD2,W1WKD3,W1WKD4,O_W1WKD,W1TYP,W1LOC,W1MOD1,W1MOD2,W1MOD3,W1MOO,W1NDV,W1CPK,W1CPU,W1EPK,W1PKL,W1PKLO,W1WLK,TRNST,VTRAN,TRNCT,TRNCU,SCHED,WSTIM,WETIM,SETIM,VSTIM,VSTMO,VETIM,VETMO,W2TY,W2TYO,W2TYP,W2LOC,W2IND,W2INO,W2OCC,W2OCO,W2DAY,W2HOM,W2HOO,W2ST,W2ET,HMALL,PNMPL,NTRIPS,DIARY,PROXY,HBW,HBO,NHB,MOTTRIP,NOMOTTRP,CPA,FIPS,REGION,DVRPC
1000468,4,2,51,1,2,4,2,,,,2,,,,,,,,,,,1,,2,3,,52,,4,,3,5,0,,2,,,0,,,,,,2,105,21,,,,1,0.00,,2,1,,0,1,2,,,1,1000,1700,2,4,,5,,,,,,,,,,,,,,,2,5,4,1,1,1,1,2,4,0,58,34005,2,1
1000643,1,2,61,1,1,1,2,,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,7,1,0,0,2,5,6,1,58,34005,2,1
1000643,2,2,83,2,2,4,2,,,,2,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,0,0,0,0,0,58,34005,2,1
1000711,1,2,34,1,1,1,2,,,,2,,,,,,,,,,,1,,2,3,,81,,2,,3,5,1,,2,,,0,,,,,,2,61,21,,,,2,0.00,,2,1,,1,2,,,,2,815,1700,1,,,,,,,,,,,,,,,,,,2,7,6,1,0,2,2,2,6,0,58,34005,2,1
1000711,2,1,8,,2,3,2,,,,1,3,46,2,5,22,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,0,0,0,0,0,58,34005,2,1
1000711,3,1,6,,2,3,2,,,,1,3,47,2,5,22,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,2,1,0,0,0,0,0,58,34005,2,1
1000714,1,2,42,1,1,1,2,,,,2,,,,,,,,,,,1,,2,2,,62,,8,,3,5,0,,2,,,0,,,,,,2,102,21,,,,2,0.00,,2,1,,2,2,,,,2,830,1715,1,,,,,,,,,,,,,,,,,,2,7,6,1,0,3,1,2,6,0,58,34005,2,1
1000714,2,1,41,2,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,48,,3,,2,4,0,,2,,,2,1,3,,,,2,103,22,,,,2,0.00,,2,3,,0,2,,,,1,630,2000,1,,,,,,,,,,,,,,,,,,2,3,2,1,1,2,0,0,2,0,58,34005,2,1
1000714,3,1,17,1,2,3,2,,,,1,4,74,2,5,41,,,,0.00,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,6,1,1,0,4,2,6,0,58,34005,2,1
1000758,1,1,44,1,1,1,2,,,,2,,,,,,,,,,,1,,2,2,,48,,12,,3,5,0,,2,,,1,1,2,,,,2,199,21,,,,1,0.00,,2,2,,2,2,,,,1,730,1600,1,,,,,,,,,,,,,,,,,,2,4,3,1,0,1,1,1,3,0,58,34005,2,1
1000758,2,2,41,1,2,2,2,,,,2,,,,,,,,,,,1,,2,1,,55,,1,,3,4,0,,2,,,1,7,,,,,2,200,21,,,,2,0.00,,2,1,,0,2,,,,2,900,1800,1,,,,,,,,,,,,,,,,,,2,3,2,1,1,2,0,0,2,0,58,34005,2,1
1000758,3,2,12,,2,3,2,,,,1,4,145,2,5,11,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,2,0,58,34005,2,1
1000758,4,1,10,,2,3,2,,,,1,3,146,2,5,42,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,2,0,58,34005,2,1
1000758,5,2,8,,2,3,2,,,,1,3,147,2,5,42,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,0,2,0,0,2,58,34005,2,1
1000774,1,1,57,1,1,1,2,,,,2,,,,,,,,,,,1,,2,1,,55,,1,,2,5,0,,2,,,0,,,,,,2,21,21,,,,2,0.00,,2,1,,1,1,2,200.00,3,2,830,1830,1,,,,,,,,,,,,,,,,,,2,6,5,1,0,2,0,3,5,0,58,34005,2,1
