CHESCO,X,Y,SLOPE,FOURLNE300,INTERST800,REGRAIL300,RAILSTN100,PARKS500M,WATER100,CITBORO_10,DIST_WATER,DIST_RAILS,DIST_REGRA,DIST_PASSR,DIST_4LNE_,DIST_INTER,DIST_PARKS,PAL_WETLND,FARM92,PASTURE92,FOREST92,URBAN01,URBAN92,POPDEN90,MEDINC90,MEDHSEVAL_,PCT_WHITE_,PCT_SFHOME,PCT_POV_90,PCT_HSB_19,PCT_COLGRD
1,1617501.508,211678.490,2.438,0,0,0,0,0,0,0,500.01,18868.25,17867.84,0.00,3807.95,13647.55,4272.07,0,0,1,0,0,0,25,43396,142400,100,84,1,25,1
1,1618001.516,211678.490,1.167,0,0,0,0,0,1,0,0.00,18608.08,17670.87,500.01,4272.07,13416.61,4743.49,0,0,1,0,0,0,0,43396,128700,100,84,1,25,1
1,1620001.546,211678.490,0.580,0,0,0,0,0,0,0,500.01,17670.87,16919.18,1000.02,6184.75,12649.31,6670.94,0,0,0,1,0,0,1,0,0,100,0,0,0,0
1,1606501.339,211178.482,7.304,0,0,0,0,0,0,0,2500.04,23022.08,22743.48,4031.19,4301.23,10770.50,2549.55,0,0,0,1,0,0,70,40984,149100,98,81,3,28,3
1,1607001.347,211178.482,6.437,0,0,0,0,0,0,0,2236.10,22743.48,22472.55,4000.06,3905.19,10966.02,2692.62,0,0,0,1,0,0,144,47500,149100,98,86,3,19,3
1,1607501.354,211178.482,3.120,0,0,0,0,0,0,0,2061.58,22472.55,22203.95,4031.19,3535.59,11180.51,2915.52,0,0,0,1,0,0,144,47500,149100,98,86,3,19,3
1,1608001.362,211178.482,2.722,0,0,0,0,0,0,0,2000.03,22209.57,21914.94,4123.17,3201.61,11412.89,3201.61,0,0,1,0,0,0,707,47500,149100,98,86,3,19,3
1,1608501.370,211178.482,2.661,1,0,0,0,0,0,0,2000.03,21954.84,21633.64,4272.07,2915.52,11629.88,3535.59,0,0,0,1,0,0,292,47500,149100,98,86,3,19,3
1,1609001.377,211178.482,2.846,1,0,0,0,0,0,0,2000.03,21708.63,21360.34,4472.21,2692.62,11853.45,3905.19,0,0,0,1,0,0,292,47500,149100,98,86,3,19,3
1,1609501.385,211178.482,4.398,1,0,0,0,0,0,0,2000.03,21471.24,21095.35,4717.06,2549.55,12093.57,4301.23,0,0,0,1,0,0,120,47500,149100,98,86,3,19,3
1,1610001.393,211178.482,5.098,1,0,0,0,0,0,0,2061.58,21242.97,20838.99,5000.08,2500.04,12349.28,4031.19,0,0,0,1,0,0,154,47500,149100,98,86,3,19,3
1,1610501.400,211178.482,4.181,1,0,0,0,0,0,0,2236.10,21024.12,20591.58,5315.16,2500.04,12540.13,3605.61,0,0,0,0,0,0,154,47500,149100,98,86,3,19,3
1,1611001.408,211178.482,4.631,1,0,0,0,0,0,0,2500.04,20814.98,20353.45,5656.94,2500.04,12747.75,3201.61,0,0,1,0,0,0,249,47500,149100,98,86,3,19,3
1,1611501.416,211178.482,3.274,1,0,0,0,0,0,0,2692.62,20615.85,20112.49,6000.09,2500.04,12971.32,2828.47,0,0,1,0,0,0,169,47500,149100,98,86,3,19,3
1,1612001.423,211178.482,4.369,1,0,0,0,0,0,0,2549.55,20427.01,19830.84,5500.08,2236.10,13200.58,2500.04,0,0,1,0,0,0,147,47500,149100,98,86,3,19,3
1,1612501.431,211178.482,3.284,1,0,0,0,0,0,0,2500.04,20248.77,19557.91,5000.08,2061.58,13416.61,2236.10,0,0,1,0,0,0,147,47500,149100,98,86,3,19,3
1,1613001.439,211178.482,3.303,1,0,0,0,0,0,0,2500.04,20081.39,19294.08,4500.07,2000.03,13647.55,2061.58,0,0,1,0,0,0,227,47500,142400,98,86,3,19,3
1,1613501.446,211178.482,3.615,1,0,0,0,0,0,0,2236.10,19925.17,19039.73,4000.06,2000.03,13892.66,2000.03,0,0,1,0,0,0,0,43396,142400,100,84,1,25,1
1,1614001.454,211178.482,2.320,1,0,0,0,0,0,0,2061.58,19780.34,18795.23,3500.05,2000.03,14151.19,2061.58,0,0,1,0,0,0,117,43396,142400,100,84,1,25,1
